cik,ni,ocf,rev,cogs,at,at_prev,se,fyear
26058,-3929000.0,37571000.0,,,480265000.0,561190000.0,296729000.0,2013
26076,,,,,1153281000.0,1037572000.0,734379000.0,2013
26172,,,,13021000000.0,14728000000.0,12548000000.0,7510000000.0,2013
26324,137981000.0,237827000.0,,1382242000.0,3458274000.0,3114588000.0,1552705000.0,2013
26780,244000000.0,577000000.0,,,5129000000.0,5144000000.0,1309000000.0,2013
27093,,-1554000.0,30399000.0,32717000.0,6382331.0,9096431.0,1662554.0,2013
27419,,6520000000.0,71279000000.0,,44553000000.0,48163000000.0,16231000000.0,2013
27673,468500000.0,,1767500000.0,,31122000000.0,27609400000.0,3560200000.0,2013
27904,10540000000.0,4504000000.0,37773000000.0,,52104000000.0,44550000000.0,11643000000.0,2013
27996,186652000.0,,1584824000.0,561116000.0,1569529000.0,1412440000.0,550457000.0,2013
28385,487000000.0,1488000000.0,5197000000.0,,17410000000.0,17651000000.0,4854000000.0,2013
28412,,836000000.0,,,65224000000.0,65069000000.0,,2013
28561,100042.0,306310.0,8256636.0,6570923.0,4310988.0,4493142.0,2079914.0,2013
28823,-181600000.0,124200000.0,,,2183491000.0,2592987000.0,596764000.0,2013
28917,323671000.0,,6691777000.0,4223715000.0,4050739000.0,4048744000.0,1992197000.0,2013
29002,26532000.0,109891000.0,,,1162258000.0,920063000.0,702742000.0,2013
29332,5290000.0,-5921000.0,,,248866000.0,201770000.0,70771000.0,2013
29504,-2471384.0,-431061.0,,168692.0,138823.0,253031.0,-2740658.0,2013
29534,,,,,10867524000.0,10367682000.0,5402193000.0,2013
29644,247377000.0,315923000.0,,,1773543000.0,1718668000.0,1122170000.0,2013
29669,211200000.0,694800000.0,,,7205100000.0,7262700000.0,631800000.0,2013
29834,-13073000.0,13082000.0,35319000.0,,132400000.0,158810000.0,27311000.0,2013
29905,1003129000.0,,,,10855181000.0,10443943000.0,,2013
29915,4787000000.0,7823000000.0,0.0,47594000000.0,69402000000.0,69605000000.0,26898000000.0,2013
29952,2318261.0,-797379.0,,67838.0,23187957.0,23333023.0,13893639.0,2013
29989,991100000.0,1809000000.0,14584500000.0,,22098700000.0,22151900000.0,3582400000.0,2013
30302,-26425000.0,-18158000.0,,,235093000.0,243875000.0,76142000.0,2013
30305,11378000.0,45962000.0,,,762645000.0,780089000.0,234271000.0,2013
30419,,,,,,2835418000.0,,2013
30554,4848000000.0,3179000000.0,,,52142000000.0,49859000000.0,16229000000.0,2013
30625,485530000.0,487759000.0,0.0,,5036733000.0,4810958000.0,1870379000.0,2013
30697,45487000.0,329847000.0,2423669000.0,,4363040000.0,4303199000.0,1929486000.0,2013
30822,,,,,,260051000.0,,2013
30828,-1140000.0,3491000.0,,,82806000.0,83490000.0,39909000.0,2013
30831,-8727171.0,1701186.0,,,24155000.0,36379675.0,12263162.0,2013
31107,6901921.0,11317036.0,142458279.0,,113858409.0,115854150.0,81504851.0,2013
31235,,,,,3200000000.0,4286000000.0,628000000.0,2013
31347,-17610000.0,-1079000.0,45857000.0,18015000.0,106128000.0,123583000.0,67188000.0,2013
31462,,,,,19636500000.0,17572300000.0,7344300000.0,2013
31667,357600.0,2765100.0,,,18337300.0,18910900.0,13170700.0,2013
31704,,,,,,4553074.0,,2013
31791,167212000.0,158591000.0,2157586000.0,,3946712000.0,3901762000.0,1994487000.0,2013
31978,88583000.0,247475000.0,,,2786288000.0,2669050000.0,943833000.0,2013
32166,20408000.0,49186000.0,241137000.0,,312082000.0,328541000.0,230936000.0,2013
32567,-327504.0,,,,,1856533.0,,2013
32604,2004000000.0,3649000000.0,,,24124000000.0,23771000000.0,10741000000.0,2013
32621,1317000.0,-8094000.0,77829000.0,,80598000.0,88880000.0,74357000.0,2013
32689,,,,,2145045000.0,2126369000.0,750123000.0,2013
32776,,,,,,234700119.0,,2013
33002,13189000.0,,27100000.0,,557597000.0,497507000.0,380258000.0,2013
33113,,,,,,66923000.0,,2013
33185,351800000.0,569000000.0,,,4539900000.0,4520100000.0,2300700000.0,2013
33213,390572000.0,1162861000.0,,,9765907000.0,8849862000.0,4034788000.0,2013
33488,9805000.0,9007000.0,163677000.0,,141974000.0,125740000.0,87955000.0,2013
33533,5562425.0,3285630.0,,,32381763.0,31914046.0,29938513.0,2013
33619,164734000.0,250772000.0,,,3270335000.0,3235404000.0,1884867000.0,2013
33769,33685000.0,,1328552000.0,451777000.0,1092550000.0,1084700000.0,,2013
33992,2012318.0,7383537.0,36566185.0,,116783822.0,93498398.0,35709411.0,2013
34067,6459000.0,32016000.0,,,240545000.0,235431000.0,173029000.0,2013
34088,32580000000.0,,420836000000.0,,346808000000.0,333795000000.0,174003000000.0,2013
34115,-65307000.0,-3153000.0,,,2694026000.0,2799272000.0,-83033000.0,2013
34285,-21244.0,-7036.0,,,450.0,486.0,-34130.0,2013
34408,443575000.0,471973000.0,,,3908182000.0,3687446000.0,1538924000.0,2013
